,PT_NDMI_0,PT_NDMI_1,PT_NDMI_2,PT_NDMI_3,PT_NDMI_4,PT_NDMI_5,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_0,PT_NDVI_1,PT_NDVI_2,PT_NDVI_3,PT_NDVI_4,PT_NDVI_5,area,LT_mag,NDVI_slope,NDVI_intercept,NDVI_rvalue,NDVI_pvalue,NDMI_slope,NDMI_intercept,NDMI_rvalue,NDMI_pvalue,NBR_slope,NBR_intercept,NBR_rvalue,NBR_pvalue,label
40308,0.14,0.04,0.07,0.1,0.14,0.13,0.51,0.19,0.39,0.41,0.47,0.3,0.49,0.22,0.54,0.56,0.59,0.28,49892.87,300.76,0.016999999999999998,0.3870000000000001,0.15462214570287278,0.8039162728483706,0.025,0.02099999999999999,0.950357401587132,0.013178166974401249,0.029999999999999995,0.262,0.4344633347726192,0.4647562444457374,2.0
52278,0.08,-0.03,0.02,-0.0,0.02,0.0,0.29,0.12,0.15,0.12,0.13,0.12,0.23,0.13,0.16,0.18,0.23,0.22,46454.17,453.84,0.025,0.109,0.950357401587132,0.013178166974401249,0.006,-0.016,0.4629100498862758,0.43238899782396334,-0.0019999999999999987,0.134,-0.24253562503633286,0.6942488516293601,2.0
23694,-0.19,-0.09,-0.1,-0.09,-0.0,-0.02,-0.02,0.06,0.13,0.19,0.29,0.29,0.26,0.38,0.42,0.44,0.47,0.48,12779.79,734.76,0.024999999999999998,0.363,0.9820927516479828,0.0028688453894428253,0.024,-0.132,0.8183932073645682,0.09033013952673792,0.061999999999999986,0.006000000000000033,0.9744766508659938,0.004876077932718432,1.0
3271,0.01,0.09,0.06,0.08,0.05,0.16,0.19,0.34,0.33,0.38,0.34,0.46,0.33,0.48,0.36,0.41,0.43,0.56,4587.77,532.57,0.023000000000000017,0.379,0.4787512641900855,0.4145951543433873,0.013,0.04899999999999999,0.475327075682635,0.4184269118360739,0.025,0.295,0.7340252743933794,0.15792831089113674,1.0
36325,0.15,0.08,0.1,0.13,0.19,0.19,0.44,0.35,0.38,0.42,0.5,0.49,0.46,0.46,0.51,0.57,0.6,0.53,66968.63,465.28,0.023,0.465,0.6718371735125341,0.21421043380440075,0.031,0.044999999999999984,0.9668634354052984,0.007204844008371254,0.040000000000000015,0.30799999999999994,0.9567297464698798,0.010734429548184774,2.0
3401,0.11,0.15,0.12,0.15,0.15,0.19,0.37,0.4,0.4,0.46,0.42,0.49,0.45,0.29,0.48,0.46,0.43,0.54,17851.79,348.74,0.04500000000000001,0.30500000000000005,0.7650229510328017,0.13180720368859095,0.011000000000000005,0.11900000000000001,0.6985006985010478,0.1894850823663393,0.01999999999999999,0.374,0.7955572841757298,0.10749869192818813,1.0
59164,-0.03,0.06,0.16,0.11,0.13,0.15,0.13,0.28,0.4,0.38,0.41,0.42,0.4,0.48,0.46,0.52,0.5,0.51,12178.37,513.46,0.010000000000000005,0.4639999999999999,0.6565321642986129,0.2287778040697709,0.015,0.077,0.5985651633507166,0.28621947423556765,0.028999999999999988,0.29100000000000004,0.8080534082342614,0.0979912607971185,1.0
43172,-0.08,-0.02,0.07,0.1,0.0,0.13,0.2,0.23,0.36,0.41,0.28,0.45,0.33,0.41,0.53,0.51,0.46,0.51,96930.53,402.72,0.013000000000000006,0.445,0.4213324203089069,0.4798669856938105,0.023,-0.012999999999999998,0.5658780060008912,0.3200531874129082,0.036000000000000004,0.238,0.6274405569381749,0.2571745165940685,2.0
37051,0.12,0.07,0.13,0.13,0.17,0.2,0.36,0.36,0.44,0.44,0.48,0.51,0.33,0.45,0.51,0.49,0.54,0.5,15644.59,384.93,0.013,0.4590000000000001,0.6283787178796811,0.2562448509514729,0.030000000000000006,0.04999999999999996,0.9682458365518544,0.006760135494957524,0.034,0.344,0.9533126619564749,0.012024514036511173,1.0
26311,-0.03,-0.18,-0.0,0.01,0.02,0.15,0.18,-0.03,0.15,0.24,0.35,0.49,0.31,0.25,0.25,0.33,0.47,0.47,15276.43,562.63,0.06599999999999999,0.15600000000000006,0.9417047401333268,0.01674747172706189,0.06799999999999999,-0.204,0.9135956653307804,0.030090324240670107,0.124,-0.132,0.994069820082042,0.0005477078538606893,1.0
