,PT_NDMI_0,PT_NDMI_1,PT_NDMI_2,PT_NDMI_3,PT_NDMI_4,PT_NDMI_5,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_0,PT_NDVI_1,PT_NDVI_2,PT_NDVI_3,PT_NDVI_4,PT_NDVI_5,area,LT_mag,TXU_asm,TXU_HOM,TXU_ENT,TXU_CON,Area,Perimeter,P/A,P/sqrt(A),Max.Distanc,D/A,D/sqrt(A),Shape Index,ndvi_rvalue,ndmi_rvalue,nbr_rvalue,ndvi_slope,ndmi_slope,nbr_slope,label
29437,0.02,0.06,0.16,0.18,0.3,0.27,0.31,0.3,0.5,0.53,0.64,0.63,0.44,0.38,0.46,0.64,0.68,0.7,22233.17,368.51,0.09,0.05,1.16,1847.81,0.0,0.01,3373.32,6.03,0.0,1227.91,2.2,1.7,0.9152492334988814,0.9587161156780024,0.94579543818472,0.06799999999999999,0.05685714285714286,0.07571428571428572,1.0
33260,0.21,0.19,0.2,0.2,0.22,0.2,0.52,0.47,0.5,0.53,0.54,0.49,0.41,0.36,0.44,0.53,0.49,0.41,33123.94,399.07,0.07,0.01,2.32,26961.26,0.0,0.01,2248.88,4.92,0.0,730.89,1.6,1.39,0.41842082625264376,0.2070196678027068,0.1822619328515436,0.013714285714285714,0.0011428571428571455,0.002571428571428574,1.0
9733,0.07,-0.02,-0.01,0.08,0.08,-0.04,0.28,0.21,0.22,0.3,0.32,0.15,0.35,0.35,0.38,0.32,0.4,0.35,43506.61,459.3,0.05,0.01,0.74,11954.76,0.0,0.02,4312.38,10.0,0.01,1731.24,4.01,2.82,0.1726200166290626,-0.15344001478138874,-0.1992175784065364,0.002571428571428575,-0.004571428571428571,-0.006857142857142861,1.0
40526,0.09,0.02,-0.14,-0.04,0.08,0.17,0.35,0.31,0.01,0.17,0.37,0.42,0.38,0.53,0.39,0.49,0.58,0.66,100233.59,603.7,0.03,0.02,3.09,26050.99,0.0,0.02,1546.1,5.4,0.01,468.54,1.64,1.52,0.8095143701412336,0.3329176058886678,0.2399969754825049,0.04714285714285714,0.01942857142857143,0.019714285714285715,1.0
7911,0.14,-0.08,0.01,0.1,0.01,0.3,0.31,0.04,0.26,0.36,0.2,0.58,0.32,0.21,0.44,0.5,0.29,0.68,23266.16,428.21,0.1,0.02,1.92,13050.21,0.0,0.01,2698.65,4.82,0.0,830.58,1.48,1.36,0.6606736012512534,0.4679093367447923,0.575112439163562,0.06,0.033142857142857134,0.055142857142857146,2.0
24006,0.06,0.07,0.12,0.11,0.13,0.21,0.38,0.38,0.41,0.44,0.45,0.54,0.47,0.49,0.41,0.55,0.6,0.63,203317.52,391.3,0.02,0.01,3.34,65625.6,0.0,0.03,1079.46,5.71,0.01,263.07,1.39,1.61,0.8142866158196269,0.918470489382816,0.9282261705455238,0.036285714285714296,0.026285714285714284,0.029714285714285717,2.0
13087,-0.05,-0.0,0.03,0.02,0.04,0.01,0.12,0.21,0.3,0.26,0.29,0.27,0.3,0.39,0.46,0.33,0.44,0.37,192522.06,420.12,0.02,0.01,3.37,24958.11,0.0,0.04,1427.82,7.39,0.01,317.99,1.65,2.09,0.3201294186204241,0.6873224701593486,0.7539128538246054,0.010571428571428572,0.011714285714285715,0.027142857142857142,1.0
50912,0.0,0.05,0.08,0.09,0.18,0.19,0.28,0.29,0.34,0.36,0.45,0.49,0.46,0.42,0.53,0.59,0.62,0.63,184475.86,429.08,0.02,0.01,3.28,26591.77,0.0,0.03,1379.6,6.57,0.01,319.13,1.52,1.85,0.9272649298563012,0.9733074460632016,0.972588407556095,0.043142857142857136,0.038571428571428576,0.04428571428571428,2.0
21493,0.26,-0.04,0.01,0.09,0.07,0.12,0.58,0.23,0.3,0.41,0.34,0.44,0.63,0.36,0.45,0.55,0.47,0.6,212144.56,382.17,0.03,0.02,3.18,39834.41,0.0,0.04,1356.08,7.25,0.01,327.58,1.75,2.05,0.14704292441876146,-0.15006581320522064,-0.11352376914843645,0.007999999999999997,-0.008285714285714287,-0.007428571428571421,2.0
51398,0.0,-0.08,-0.06,0.03,0.05,0.03,0.26,0.04,0.13,0.26,0.28,0.24,0.37,0.32,0.48,0.51,0.4,0.52,10611.97,486.67,0.12,0.01,0.78,5447.05,0.0,0.01,4823.84,5.81,0.0,1827.28,2.2,1.64,0.6657524736332725,0.6330139917734195,0.4194047558084759,0.029142857142857137,0.018000000000000002,0.021428571428571432,1.0
43248,0.1,0.02,-0.03,0.19,0.2,0.18,0.42,0.13,0.27,0.45,0.48,0.47,0.44,0.14,0.42,0.42,0.44,0.57,99097.05,289.38,0.05,0.04,2.49,1879.89,0.0,0.03,2107.82,7.38,0.01,670.3,2.35,2.08,0.5848223879309828,0.6381723297967091,0.5633447325951342,0.04428571428571428,0.03314285714285714,0.04228571428571429,2.0
44326,-0.07,0.11,0.11,0.14,0.13,0.11,0.2,0.3,0.4,0.43,0.41,0.39,0.35,0.24,0.57,0.6,0.58,0.57,37310.6,304.13,0.06,0.06,2.39,14074.06,0.0,0.01,2226.39,5.02,0.0,691.16,1.56,1.42,0.7579402176401748,0.6733239928078645,0.7933567929481202,0.06142857142857142,0.028285714285714282,0.03742857142857143,2.0
17446,0.05,0.13,0.23,0.17,0.23,0.18,0.37,0.46,0.54,0.52,0.54,0.5,0.38,0.52,0.63,0.61,0.56,0.56,63541.86,284.87,0.05,0.02,2.58,12362.09,0.0,0.02,2186.63,6.24,0.0,597.27,1.7,1.76,0.5996163682472242,0.6991421551892033,0.712771636151865,0.02857142857142858,0.025428571428571425,0.024857142857142862,2.0
23642,-0.03,-0.06,-0.05,0.02,0.03,0.1,0.25,0.19,0.22,0.23,0.31,0.38,0.36,0.32,0.39,0.27,0.5,0.47,439978.32,463.33,0.03,0.02,3.22,32892.95,0.0,0.08,1328.12,10.29,0.02,271.63,2.11,2.9,0.5904872478896781,0.8751016163345355,0.7815384496853592,0.027714285714285712,0.02828571428571429,0.029142857142857137,2.0
10745,0.16,0.04,0.09,0.12,0.03,0.1,0.45,0.27,0.34,0.41,0.29,0.39,0.48,0.38,0.45,0.49,0.34,0.51,15189.22,262.92,0.16,0.02,1.32,16703.31,0.0,0.01,3838.6,5.57,0.0,1207.11,1.75,1.57,0.05555147343970791,-0.3273268353539886,-0.12880882621779674,0.0020000000000000052,-0.008571428571428572,-0.004857142857142861,1.0
4468,0.1,-0.06,-0.06,-0.07,-0.25,-0.22,0.3,0.17,0.18,0.18,-0.09,-0.04,0.2,0.25,0.31,0.33,0.22,0.25,44204.39,331.68,0.09,0.01,1.35,4205.93,0.0,0.02,3533.95,8.73,0.01,1159.53,2.86,2.46,0.19015970731391615,-0.9170246958464432,-0.8867705941227134,0.005142857142857143,-0.062285714285714285,-0.07085714285714285,1.0
