,area,PT_NDVI_0,LT_mag,PT_NDVI_2,PT_NDVI_1,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_4,PT_NDVI_3,PT_NDMI_1,PT_NDMI_0,PT_NDVI_5,PT_NDMI_3,PT_NDMI_2,PT_NDMI_5,PT_NDMI_4,label
2496,27398.049672,0.247886700897801,258.8125,0.587624543783616,0.521987050771713,0.274116950679799,0.516229170317553,0.567444665699589,0.547437680619104,0.573675515916612,0.564967738122356,0.633920017878215,0.541756575813099,0.211493214174193,0.080864278733854,0.601019609947594,0.240282000935808,0.258900464797507,0.224918732837755,0.244387683603499,2.0
2514,52570.899119,0.318354776501656,263.82051282,0.512076790843691,0.516410064189992,0.311074581348671,0.493214200151728,0.392305321494738,0.549054166103931,0.579723462145379,0.583430322560858,0.673603666589615,0.609392622049819,0.18291336884524,0.086102940446951,0.60963492127175,0.221493798526044,0.152142494171858,0.232644488836857,0.243639344389134,2.0
2521,65404.337489,0.331176592409611,301.015625,0.548811631070243,0.390591643304906,0.344453160216411,0.417498880726659,0.522367660051737,0.467776157917121,0.554072787364324,0.555789785252677,0.635079944235647,0.542953553362789,0.124023849693819,0.076091838814318,0.606068216837369,0.182204323446649,0.201757455610821,0.221097070564572,0.229577000515583,2.0
2523,11744.753481,0.440056496196323,295.54545455,0.380492500283501,0.400509733529318,0.433657607861928,0.521146941752661,0.274593296978209,0.589807521729242,0.619542766185034,0.610254714886347,0.653182733626593,0.585880986281804,0.239756700183664,0.125613660684654,0.6188886875198,0.280836018778029,0.125268445163965,0.286048876387732,0.308222633742151,2.0
2526,84985.687511,0.546723372431902,269.98333333,0.54559541611295,0.448764612408061,0.456561467968501,0.414952076971531,0.533671850044476,0.462359197045627,0.513255499497704,0.50482181302811,0.653359192113082,0.592896962636395,0.113757415405033,0.136978399724914,0.634434927058847,0.151449369168595,0.199744225920815,0.161131612711439,0.178951191837373,2.0
2555,22763.639037,0.574181074049415,249.81818182,0.670239333699389,0.419646812648308,0.434944346183684,0.40992317766678,0.544177269063345,0.534885053954473,0.589187433079975,0.565315445748771,0.702216975572633,0.675975433210047,0.157000231125006,0.099616009469439,0.654830620056245,0.207555047622541,0.20459559923265,0.214398868563699,0.249261485367286,2.0
2556,98255.048827,0.268291004590298,286.98529412,0.685972349455128,0.490913616987945,0.521146814976084,0.464607241968651,0.554413210537474,0.568705011727446,0.597182127042005,0.576636018220988,0.697571081293505,0.632425371368053,0.170534745111304,0.258079443126917,0.669668141731435,0.242702739555283,0.21617093589683,0.231820852995592,0.255401369542052,2.0
2572,137527.04294,0.284599957388666,293.11111111,0.57927355012758,0.37227186421311,0.251964201125017,0.444159452871578,0.532697261954711,0.492430780961262,0.534367450939611,0.532883290595155,0.667060587519691,0.623456775172939,0.138501328272306,0.067858237176231,0.62933410595103,0.174219161484057,0.199204107155887,0.186492179285705,0.198824454488149,2.0
2579,26081.010768,0.450727886275241,236.33333333,0.527261662356397,0.564745442030278,0.426082896950998,0.492088917088001,0.462250268205683,0.584024523800992,0.631782087873905,0.613367060397534,0.69713247075994,0.626019721335553,0.172951350662302,0.141302348261601,0.673219266089987,0.251924126072133,0.177722096918745,0.269225042234076,0.297597975489941,2.0
2581,27751.695298,0.549931245881158,270.0,0.700217388868332,0.58988730430603,0.515736456658389,0.5121232432127,0.598403593301773,0.596600027680397,0.635079613924026,0.611695911884308,0.706056885719299,0.638681492805481,0.189476033449173,0.163609730633529,0.686459695100784,0.254743043482304,0.256168790459633,0.260297269225121,0.287398141920567,2.0
